1617432596652,59740.75
1617432601022,59773.15
1617433209786,59850.84
1617433213263,59807.0
1617433329929,59852.31
1617433380492,59816.89
1617474788706,58904.65
1617474806956,58904.65
1617474840436,58904.65
1617513789682,58287.04
1617513794849,58279.72
1617513805950,58287.04
1617513916543,58279.72
1617515168300,58100.61
<<<<<<< Updated upstream
=======
1617516168147,58168.53
1617518179434,58106.24
1617518180137,58186.93
1617518199666,58134.54
1617518215344,58106.24
1617518282970,58186.86
1617518410811,58152.45
1617518442821,58152.45
1617518529638,58186.86
1617519054469,58176.47
1617519070456,58225.93
1617519084453,58225.93
1617519879547,58304.85
1617519883341,58304.85
1617519886875,58311.16
1617519890205,58304.85
1617555262095,58486.79
1617555479252,58496.48
1617555624814,58496.48
1617555951548,58501.63
1617555964178,58523.57
1617556043085,58523.57
1617556049090,58522.07
1617556085629,58522.07
1617556142905,58522.07
1617556155111,58543.04
1617556198156,58523.57
1617556207478,58522.07
1617556411832,58563.02
1617556452894,58563.02
1617556495155,58570.82
1617556524675,58570.82
1617556622364,58560.58
1617556721735,58560.58
1617556724974,58560.32
1617556787760,58560.58
1617556843725,58563.29
1617556844351,58563.29
1617556854027,58563.29
1617556858183,58563.29
1617556928865,58563.29
1617556934510,58560.58
1617556990122,58557.76
1617556994179,58546.42
1617557020799,58546.42
1617557081486,58547.27
1617557117308,58547.27
1617557189960,58546.42
1617557334461,58571.73
1617557466105,58583.85
1617557472944,58583.85
1617557507601,58574.84
1617557517399,58583.85
1617557631771,58652.95
1617557644455,58630.7
1617557879273,58673.71
1617557888542,58659.37
1617558037637,58659.37
1617558070283,58663.34
1617558137675,58634.99
1617558186584,58663.34
1617558241898,58629.67
1617558257141,58629.67
1617558366536,58629.67
1617558443476,58629.67
1617558577684,58625.0
1617558578979,58625.0
1617558582394,58612.38
1617558605517,58612.38
1617558788235,58597.39
1617558819930,58615.33
1617558823713,58597.39
1617558824774,58615.33
1617558828851,58597.39
1617559331417,58615.88
1617559332868,58584.32
1617559339444,58615.88
1617559370517,58584.32
1617559475140,58615.88
1617559560550,58623.19
1617559916627,58669.06
1617560428197,58593.85
1617560938201,58619.91
1617560999300,58612.1
1617561104273,58619.91
1617561167711,58613.45
1617561228831,58586.32
1617561358899,58586.32
1617561361919,58586.32
1617561394203,58569.91
1617561421419,58586.32
1617561512696,58568.06
1617561513625,58568.06
1617561519844,58586.32
1617561545787,58569.91
1617561772624,58561.09
1617561810813,58561.09
1617561811779,58564.07
1617561908531,58571.67
1617561910010,58571.67
1617561977825,58571.67
1617561992801,58561.09
1617562086817,58493.05
1617562092782,58571.67
1617562099037,58571.67
1617562169603,58493.05
1617562213647,58493.05
1617562367173,58514.12
1617562373613,58493.05
1617562431281,58514.12
1617579099695,58696.31
1617579101851,58774.36
1617579141846,58774.36
1617579180035,58768.04
1617579512689,58758.76
1617579519951,58758.76
1617579629404,58758.76
1617579761244,58772.3
1617579848397,58772.3
>>>>>>> Stashed changes
1617580383993,58766.72
1617580643344,58752.81
1617580741229,58752.81
1617580773992,58752.81
